DateTime,Players,Twitch Viewers,Events,Prize
20/03/2013,270405,,,
21/03/2013,281979,,,
22/03/2013,303083,,,
23/03/2013,311078,,,
24/03/2013,281143,,,
25/03/2013,272025,,,
26/03/2013,274017,,,
27/03/2013,282141,,,
28/03/2013,299627,,,
29/03/2013,301486,,,
30/03/2013,293265,,,
31/03/2013,274605,,,
01/04/2013,299667,,,
02/04/2013,271429,,,
03/04/2013,267248,,,
04/04/2013,285748,,,
05/04/2013,297580,,,
06/04/2013,300414,,,
07/04/2013,273058,,,
08/04/2013,270882,,,
09/04/2013,269293,,,
10/04/2013,269683,,,
11/04/2013,282225,,,
12/04/2013,297510,,,
13/04/2013,292130,,,
14/04/2013,261387,,,
15/04/2013,262444,,,
16/04/2013,259406,,,
17/04/2013,260680,,,
18/04/2013,270114,,,
19/04/2013,285389,,,
20/04/2013,286189,,,
21/04/2013,267804,,,
22/04/2013,267223,,,
23/04/2013,264998,,,
24/04/2013,261898,,,
25/04/2013,269414,,,
26/04/2013,286214,,,
27/04/2013,292781,,,
28/04/2013,266221,,,
29/04/2013,275774,,,
30/04/2013,261609,,,
01/05/2013,325815,,,
02/05/2013,272184,,,
03/05/2013,292144,,,
04/05/2013,280686,,,
05/05/2013,259738,,,
06/05/2013,256628,,,
07/05/2013,262217,,,
08/05/2013,252705,,,
09/05/2013,269240,,,
10/05/2013,298705,,,
11/05/2013,295032,,,
12/05/2013,302958,,,
13/05/2013,304621,,,
14/05/2013,306467,,,
15/05/2013,302926,,,
16/05/2013,318890,,,
17/05/2013,329977,,,
18/05/2013,328713,,,
19/05/2013,312562,,,
20/05/2013,307248,,,
21/05/2013,304716,,,
22/05/2013,324498,,,
23/05/2013,303529,,,
24/05/2013,311696,,,
25/05/2013,318606,,,
26/05/2013,303848,,,
27/05/2013,317067,,,
28/05/2013,311520,,,
29/05/2013,308015,,,
30/05/2013,303763,,,
31/05/2013,312245,,,
01/06/2013,326160,,,
02/06/2013,298910,,,
03/06/2013,300585,,,
04/06/2013,295791,,,
05/06/2013,297766,,,
06/06/2013,301152,,,
07/06/2013,308039,,,
08/06/2013,326835,,,
09/06/2013,299360,,,
10/06/2013,301738,,,
11/06/2013,293300,,,
12/06/2013,296693,,,
13/06/2013,298580,,,
14/06/2013,305281,,,
15/06/2013,311932,,,
16/06/2013,301662,,,
17/06/2013,298103,,,
18/06/2013,296900,,,
19/06/2013,292222,,,
20/06/2013,289563,,,
21/06/2013,306830,,,
22/06/2013,315297,,,
23/06/2013,303377,,,
24/06/2013,293750,,,
25/06/2013,294830,,,
26/06/2013,293282,,,
27/06/2013,294990,,,
28/06/2013,306089,,,
29/06/2013,324739,,,
30/06/2013,301960,,,
01/07/2013,422617,,,
02/07/2013,299678,,,
03/07/2013,312026,,,
04/07/2013,319772,,,
05/07/2013,335314,,,
06/07/2013,328486,,,
07/07/2013,322038,,,
08/07/2013,314788,,,
09/07/2013,335335,,,
10/07/2013,333115,,,
11/07/2013,327915,,,
12/07/2013,334106,,,
13/07/2013,347619,,,
14/07/2013,334074,,,
15/07/2013,332896,,,
16/07/2013,328484,,,
17/07/2013,337550,,,
18/07/2013,350927,,,
19/07/2013,385324,,,
20/07/2013,396917,,,
21/07/2013,382742,,,
22/07/2013,390724,,,
23/07/2013,376148,,,
24/07/2013,391566,,,
25/07/2013,397368,,,
26/07/2013,410882,,,
27/07/2013,432837,,,
28/07/2013,417945,,,
29/07/2013,423332,,,
30/07/2013,411302,,,
31/07/2013,411308,,,
01/08/2013,520532,,,
02/08/2013,497332,,,
03/08/2013,494675,,,
04/08/2013,473584,,,
05/08/2013,439522,,,
06/08/2013,439990,,,
07/08/2013,443921,,The International,"2,874,380"
08/08/2013,447368,,The International,"2,874,380"
09/08/2013,471867,,The International,"2,874,380"
10/08/2013,497956,,The International,"2,874,380"
11/08/2013,477143,,The International,"2,874,380"
12/08/2013,466285,,,
13/08/2013,463428,,,
14/08/2013,456510,,,
15/08/2013,457334,,,
16/08/2013,469142,,,
17/08/2013,482395,,,
18/08/2013,459261,,,
19/08/2013,451632,,,
20/08/2013,455760,,,
21/08/2013,458834,,,
22/08/2013,460976,,,
23/08/2013,473934,,,
24/08/2013,486116,,,
25/08/2013,476855,,,
26/08/2013,485440,,,
27/08/2013,484006,,,
28/08/2013,490451,,,
29/08/2013,500715,,,
30/08/2013,524282,,,
31/08/2013,384727,,,
01/09/2013,566715,,,
02/09/2013,483253,,,
03/09/2013,483771,,,
04/09/2013,491679,,,
05/09/2013,520783,,,
06/09/2013,541832,,,
07/09/2013,539723,,,
08/09/2013,475336,,,
09/09/2013,483835,,,
10/09/2013,428406,,,
11/09/2013,478811,,,
12/09/2013,508910,,,
13/09/2013,541350,,,
14/09/2013,536038,,,
15/09/2013,477271,,,
16/09/2013,477645,,,
17/09/2013,494207,,,
18/09/2013,483755,,,
19/09/2013,516188,,,
20/09/2013,536431,,,
21/09/2013,524991,,,
22/09/2013,484336,,,
23/09/2013,473997,,,
24/09/2013,499550,,,
25/09/2013,496673,,,
26/09/2013,513287,,,
27/09/2013,546925,,,
28/09/2013,567901,,,
29/09/2013,508128,,,
30/09/2013,492522,,,
01/10/2013,581615,,,
02/10/2013,502593,,,
03/10/2013,515093,,,
04/10/2013,546946,,,
05/10/2013,555245,,,
06/10/2013,481271,,,
07/10/2013,473205,,,
08/10/2013,485706,,,
09/10/2013,488164,,,
10/10/2013,497371,,,
11/10/2013,570919,,,
12/10/2013,561942,,,
13/10/2013,520709,,,
14/10/2013,508082,,,
15/10/2013,508265,,,
16/10/2013,516568,,,
17/10/2013,551611,,,
18/10/2013,581794,,,
19/10/2013,570259,,,
20/10/2013,510539,,,
21/10/2013,526072,,,
22/10/2013,519706,,,
23/10/2013,524665,,,
24/10/2013,544196,,,
25/10/2013,570239,,,
26/10/2013,582526,,,
27/10/2013,520141,,,
28/10/2013,513151,,,
29/10/2013,507429,,,
30/10/2013,455531,,,
31/10/2013,523012,,,
01/11/2013,702792,,,
02/11/2013,567230,,,
03/11/2013,521723,,,
04/11/2013,492458,,,
05/11/2013,502235,,,
06/11/2013,512647,,,
07/11/2013,541289,,,
08/11/2013,580644,,,
09/11/2013,573938,,,
10/11/2013,494307,,,
11/11/2013,500439,,,
12/11/2013,330197,,,
13/11/2013,356114,,,
14/11/2013,653867,,,
15/11/2013,707938,,,
16/11/2013,654132,,,
17/11/2013,548707,,,
18/11/2013,530955,,,
19/11/2013,534348,,,
20/11/2013,509245,,,
21/11/2013,539328,,,
22/11/2013,588216,,,
23/11/2013,577387,,,
24/11/2013,505544,,,
25/11/2013,505046,,,
26/11/2013,508769,,,
27/11/2013,483019,,,
28/11/2013,517844,,,
29/11/2013,542906,,,
30/11/2013,531279,,,
01/12/2013,685503,,,
02/12/2013,476118,,,
03/12/2013,478642,,,
04/12/2013,489440,,,
05/12/2013,532566,,,
06/12/2013,574132,,,
07/12/2013,547638,,,
08/12/2013,500219,,,
09/12/2013,502393,,,
10/12/2013,499432,,,
11/12/2013,504181,,,
12/12/2013,571497,,,
13/12/2013,686016,,,
14/12/2013,693538,,,
15/12/2013,611280,,,
16/12/2013,598512,,,
17/12/2013,572596,,,
18/12/2013,578418,,,
19/12/2013,618452,,,
20/12/2013,651640,,,
21/12/2013,506467,,,
22/12/2013,506467,,,
23/12/2013,561592,,,
24/12/2013,561501,,,
25/12/2013,442513,,,
26/12/2013,587722,,,
27/12/2013,413692,,,
28/12/2013,601749,,,
29/12/2013,584682,,,
30/12/2013,540407,,,
31/12/2013,556087,,,
01/01/2014,673496,,,
02/01/2014,457656,,,
03/01/2014,645254,,,
04/01/2014,634717,,,
05/01/2014,599540,,,
06/01/2014,502059,,,
07/01/2014,577628,,,
08/01/2014,574509,,,
09/01/2014,572672,,,
10/01/2014,626353,,,
11/01/2014,622623,,,
12/01/2014,555071,,,
13/01/2014,552337,,,
14/01/2014,544645,,,
15/01/2014,558732,,,
16/01/2014,581086,,,
17/01/2014,619653,,,
18/01/2014,613297,,,
19/01/2014,576990,,,
20/01/2014,548326,,,
21/01/2014,551409,,,
22/01/2014,575760,,,
23/01/2014,604594,,,
24/01/2014,634532,,,
25/01/2014,642435,,,
26/01/2014,417186,,,
27/01/2014,296193,,,
28/01/2014,578251,,,
29/01/2014,675958,,,
30/01/2014,657007,,,
31/01/2014,661837,,,
01/02/2014,738682,,,
02/02/2014,604502,,,
03/02/2014,596187,,,
04/02/2014,610285,,,
05/02/2014,729942,,,
06/02/2014,667850,,,
07/02/2014,740345,,,
08/02/2014,695927,,,
09/02/2014,609499,,,
10/02/2014,615469,,,
11/02/2014,666560,,,
12/02/2014,613380,,,
13/02/2014,416160,,,
14/02/2014,710808,,,
15/02/2014,706259,,,
16/02/2014,606829,,,
17/02/2014,603443,,,
18/02/2014,620818,,,
19/02/2014,438497,,,
20/02/2014,615303,,,
21/02/2014,675875,,,
22/02/2014,642813,,,
23/02/2014,574042,,,
24/02/2014,579543,,,
25/02/2014,583930,,,
26/02/2014,587431,,,
27/02/2014,606669,,,
28/02/2014,665749,,,
01/03/2014,698197,,,
02/03/2014,585132,,,
03/03/2014,583428,,,
04/03/2014,578006,,,
05/03/2014,584382,,,
06/03/2014,647284,,,
07/03/2014,650813,,,
08/03/2014,656038,,,
09/03/2014,609114,,,
10/03/2014,586636,,,
11/03/2014,588844,,,
12/03/2014,591707,,,
13/03/2014,626825,,,
14/03/2014,679193,,,
15/03/2014,663760,,,
16/03/2014,598644,,,
17/03/2014,608112,,,
18/03/2014,620428,,,
19/03/2014,650002,,,
20/03/2014,543224,,,
21/03/2014,666854,,,
22/03/2014,695945,,,
23/03/2014,623924,,,
24/03/2014,407062,,,
25/03/2014,631455,,,
26/03/2014,634043,,,
27/03/2014,657624,,,
28/03/2014,700665,,,
29/03/2014,679569,,,
30/03/2014,631615,,,
31/03/2014,619063,,,
01/04/2014,734998,,,
02/04/2014,632635,,,
03/04/2014,667534,,,
04/04/2014,702239,,,
05/04/2014,702365,,,
06/04/2014,634753,,,
07/04/2014,649263,,,
08/04/2014,642001,,,
09/04/2014,652265,,,
10/04/2014,697646,,,
11/04/2014,737526,,,
12/04/2014,699097,,,
13/04/2014,648414,,,
14/04/2014,650573,,,
15/04/2014,654910,,,
16/04/2014,647696,,,
17/04/2014,689652,,,
18/04/2014,690721,,,
19/04/2014,659470,,,
20/04/2014,679703,,,
21/04/2014,655689,,,
22/04/2014,656902,,,
23/04/2014,658341,,,
24/04/2014,697091,,,
25/04/2014,681226,,,
26/04/2014,690882,,,
27/04/2014,655916,,,
28/04/2014,663396,,,
29/04/2014,676331,,,
30/04/2014,676479,,,
01/05/2014,843024,,,
02/05/2014,685495,,,
03/05/2014,711106,,,
04/05/2014,664408,,,
05/05/2014,661168,,,
06/05/2014,648206,,,
07/05/2014,668633,,,
08/05/2014,665149,,,
09/05/2014,786113,,,
10/05/2014,796661,,,
11/05/2014,748984,,,
12/05/2014,753508,,,
13/05/2014,731783,,,
14/05/2014,713343,,,
15/05/2014,796342,,,
16/05/2014,845664,,,
17/05/2014,814752,,,
18/05/2014,762303,,,
19/05/2014,787385,,,
20/05/2014,758622,,,
21/05/2014,754651,,,
22/05/2014,788693,,,
23/05/2014,819935,,,
24/05/2014,827651,,,
25/05/2014,799913,,,
26/05/2014,779319,,,
27/05/2014,768045,,,
28/05/2014,754598,,,
29/05/2014,769048,,,
30/05/2014,826922,,,
31/05/2014,837414,,,
01/06/2014,833145,,,
02/06/2014,783670,,,
03/06/2014,778969,,,
04/06/2014,783644,,,
05/06/2014,804664,,,
06/06/2014,819774,,,
07/06/2014,826114,,,
08/06/2014,798912,,,
09/06/2014,789361,,,
10/06/2014,783876,,,
11/06/2014,771885,,,
12/06/2014,806131,,,
13/06/2014,832085,,,
14/06/2014,811921,,,
15/06/2014,766156,,,
16/06/2014,759217,,,
17/06/2014,755754,,,
18/06/2014,532186,,,
19/06/2014,778962,,,
20/06/2014,824827,,,
21/06/2014,783504,,,
22/06/2014,746380,,,
23/06/2014,733782,,,
24/06/2014,728402,,,
25/06/2014,715385,,,
26/06/2014,747148,,,
27/06/2014,764227,,,
28/06/2014,775279,,,
29/06/2014,730276,,,
30/06/2014,728779,,,
01/07/2014,874975,,,
02/07/2014,719438,,,
03/07/2014,738678,,,
04/07/2014,766644,,,
05/07/2014,759586,,,
06/07/2014,734125,,,
07/07/2014,805506,,,
08/07/2014,857863,,,
09/07/2014,852344,,,
10/07/2014,891058,,,
11/07/2014,885423,,,
12/07/2014,841743,,,
13/07/2014,803778,,,
